Net;Sta;Loc;Cha;Lat;Lon;Ele;EpiDistance(km);IpoDistance(km);MinAmp(m);MinAmpTime;MaxAmp(m);MaxAmpTime;DeltaPeaks;Method;NoiseWinMin;NoiseWinMax;SignalWinMin;SignalWinMax;P_Pick;Synth;S_Picks;Synth;Nyq;LoCo;HiCo;LenOverSNRIn;SNRIn;ML_H;CORR_HB;CORR_USED_HB;ML_DB;CORR_DB;CORR_USED_DB
IV;T1211;;EHN;42.53285217285156;12.855145454406738;0.9789999723434448;32.83596420288086;32.844597031543415;-1.22193348612e-05;2017-01-01T00:01:51.064001Z;1.64919388587e-05;2017-01-01T00:01:51.008001Z;0.056;lmag;2017-01-01T00:01:39.700000Z;2017-01-01T00:01:44.700000Z;2017-01-01T00:01:45.700000Z;2017-01-01T00:01:52.259182Z;2017-01-01T00:01:45.200000Z;0;2017-01-01T00:01:47.259182Z;1;62.499997031409436;3;37;23;5.0;0.4933737233540305;False;True;0.3233860688229462;0.089;True;
IV;T1211;;EHZ;42.53285217285156;12.855145454406738;0.9789999723434448;32.83596420288086;32.844597031543415;-4.05210795086e-06;2017-01-01T00:01:51.472001Z;3.48505569371e-06;2017-01-01T00:01:52.192001Z;0.72;lmag;2017-01-01T00:01:39.700000Z;2017-01-01T00:01:44.700000Z;2017-01-01T00:01:45.700000Z;2017-01-01T00:01:52.259182Z;2017-01-01T00:01:45.200000Z;0;2017-01-01T00:01:47.259182Z;1;62.499997031409436;5;30;17;5.0;-0.08747079156019577;False;True;-0.2574584460912801;0.089;True;
IV;T1246;;HHE;42.583309173583984;13.492950439453125;1.1339999437332153;20.061845779418945;20.07597233283576;-1.55489023339e-05;2017-01-01T00:01:45.890000Z;1.93251714391e-05;2017-01-01T00:01:45.930000Z;0.04;lmag;2017-01-01T00:01:36.930000Z;2017-01-01T00:01:41.930000Z;2017-01-01T00:01:42.930000Z;2017-01-01T00:01:50.170000Z;2017-01-01T00:01:42.430000Z;0;2017-01-01T00:01:45.170000Z;0;50.00000111758712;3;43;26;5.0;0.31638728720601605;False;True;-0.05971355273923695;False;True;
IV;T1246;;HHN;42.583309173583984;13.492950439453125;1.1339999437332153;20.061845779418945;20.07597233283576;-1.69350265158e-05;2017-01-01T00:01:45.370000Z;1.6173383222e-05;2017-01-01T00:01:45.510000Z;0.14;lmag;2017-01-01T00:01:36.930000Z;2017-01-01T00:01:41.930000Z;2017-01-01T00:01:42.930000Z;2017-01-01T00:01:50.170000Z;2017-01-01T00:01:42.430000Z;0;2017-01-01T00:01:45.170000Z;0;50.00000111758712;3;46;28;5.0;0.2938229265116368;False;True;-0.08227791343361623;False;True;
IV;T1246;;HHZ;42.583309173583984;13.492950439453125;1.1339999437332153;20.061845779418945;20.07597233283576;-1.82184787839e-05;2017-01-01T00:01:42.580000Z;1.23654131928e-05;2017-01-01T00:01:42.630000Z;0.05;lmag;2017-01-01T00:01:36.930000Z;2017-01-01T00:01:41.930000Z;2017-01-01T00:01:42.930000Z;2017-01-01T00:01:50.170000Z;2017-01-01T00:01:42.430000Z;0;2017-01-01T00:01:45.170000Z;0;50.00000111758712;3;49;31;5.0;0.25937735635161197;False;True;-0.11672348359364104;False;True;
IV;T1247;;HHE;42.44157028198242;13.29833984375;0.8360000252723694;11.900235176086426;11.924034815353478;-6.93081181615e-05;2017-01-01T00:01:45.170000Z;6.21390257042e-05;2017-01-01T00:01:45.230000Z;0.06;lmag;2017-01-01T00:01:36.520000Z;2017-01-01T00:01:41.520000Z;2017-01-01T00:01:42.520000Z;2017-01-01T00:01:46.029294Z;2017-01-01T00:01:42.020000Z;0;2017-01-01T00:01:41.029294Z;1;50.00000111758712;5;36;16;5.0;0.626087375457038;False;True;0.1272188162128971;0.002;True;
IV;T1247;;HHN;42.44157028198242;13.29833984375;0.8360000252723694;11.900235176086426;11.924034815353478;-5.54906433513e-05;2017-01-01T00:01:45.270000Z;6.04011538044e-05;2017-01-01T00:01:45.210000Z;0.06;lmag;2017-01-01T00:01:36.520000Z;2017-01-01T00:01:41.520000Z;2017-01-01T00:01:42.520000Z;2017-01-01T00:01:46.029294Z;2017-01-01T00:01:42.020000Z;0;2017-01-01T00:01:41.029294Z;1;50.00000111758712;5;41;18;5.0;0.5713889190326835;False;True;0.07252035978854221;0.002;True;
IV;T1247;;HHZ;42.44157028198242;13.29833984375;0.8360000252723694;11.900235176086426;11.924034815353478;-3.56690694359e-05;2017-01-01T00:01:45.460000Z;3.85775522098e-05;2017-01-01T00:01:45.410000Z;0.05;lmag;2017-01-01T00:01:36.520000Z;2017-01-01T00:01:41.520000Z;2017-01-01T00:01:42.520000Z;2017-01-01T00:01:46.029294Z;2017-01-01T00:01:42.020000Z;0;2017-01-01T00:01:41.029294Z;1;50.00000111758712;5;34;16;5.0;0.378012918692606;False;True;-0.12085564055153486;0.002;True;
IV;T1299;;EHE;42.63422393798828;13.282204627990723;0.9399999976158142;10.309239387512207;10.336702848618131;-9.34272920613e-05;2017-01-01T00:01:42.050198Z;8.62450435346e-05;2017-01-01T00:01:42.140198Z;0.09;lmag;2017-01-01T00:01:34.750000Z;2017-01-01T00:01:39.750000Z;2017-01-01T00:01:40.750000Z;2017-01-01T00:01:46.750000Z;2017-01-01T00:01:40.250000Z;0;2017-01-01T00:01:41.750000Z;0;50.00000111758712;0.04;46;30;5.0;0.6899516412241748;False;True;0.3597705806411099;0.205;True;
IV;T1299;;EHN;42.63422393798828;13.282204627990723;0.9399999976158142;10.309239387512207;10.336702848618131;-7.75508191449e-05;2017-01-01T00:01:41.830198Z;6.55503534355e-05;2017-01-01T00:01:42.580198Z;0.75;lmag;2017-01-01T00:01:34.750000Z;2017-01-01T00:01:39.750000Z;2017-01-01T00:01:40.750000Z;2017-01-01T00:01:46.750000Z;2017-01-01T00:01:40.250000Z;0;2017-01-01T00:01:41.750000Z;0;50.00000111758712;0.04;44;29;5.0;0.5911136203161904;False;True;0.26093255973312546;0.205;True;
IV;T1299;;EHZ;42.63422393798828;13.282204627990723;0.9399999976158142;10.309239387512207;10.336702848618131;-6.68258003276e-05;2017-01-01T00:01:42.420198Z;5.90651213499e-05;2017-01-01T00:01:42.350198Z;0.07;lmag;2017-01-01T00:01:34.750000Z;2017-01-01T00:01:39.750000Z;2017-01-01T00:01:40.750000Z;2017-01-01T00:01:46.750000Z;2017-01-01T00:01:40.250000Z;0;2017-01-01T00:01:41.750000Z;0;50.00000111758712;0.04;25;29;5.0;0.535464841034206;False;True;0.20528378045114107;0.205;True;
